IdKolumna;NazwaKolumna;OpisKolumna;UwagiKolumna;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
IdUprawa;Identyfikator uprawy;;;Z;Zmodyfikowany;2025-03-23 20:38:18;Darek Osuch;2025-03-23 20:39:13;Darek Osuch;;
NazwaUprawa;Nazwa uprawy w jęz. polskim;;;Z;Zmodyfikowany;2025-03-23 20:40:42;Darek Osuch;2025-03-23 20:42:33;Darek Osuch;;
NazwaLacinskaUprawa;Nazwa uprawy w jęz. łacińskim;;;Z;Zmodyfikowany;2025-03-23 20:40:55;Darek Osuch;2025-03-23 20:42:38;Darek Osuch;;
NazwaSynonimyUprawa;Synonimy, nazwy regionalne itp. upraw;;;Z;Zmodyfikowany;2025-03-23 20:41:21;Darek Osuch;2025-03-23 20:42:43;Darek Osuch;;
OpisUprawa;Opis uprawy;;;D;Dodany;2025-03-23 20:41:40;Darek Osuch;;;;
UwagaUprawa;Uwagi techniczne do uprawy;;;Z;Zmodyfikowany;2025-03-23 20:41:49;Darek Osuch;2025-04-09 21:02:31;;;
IdProdukt;Identyfikator produktu;;;Z;Zmodyfikowany;2025-03-23 20:38:30;Darek Osuch;2025-03-23 20:39:21;Darek Osuch;;
NazwaProdukt;Nazwa produktu PKWiU w jęz. polskim;;;Z;Zmodyfikowany;2025-03-23 20:42:25;Darek Osuch;2025-03-23 20:43:39;Darek Osuch;;
OpisProdukt;Opis produktu PKWiU;;;Z;Zmodyfikowany;2025-03-23 20:42:54;Darek Osuch;2025-03-23 20:43:54;Darek Osuch;;
UwagaProdukt;Uwagi techniczne do produktu PKWiU;;;Z;Zmodyfikowany;2025-03-23 20:43:04;Darek Osuch;2025-04-09 21:02:31;;;
IdCN;Identyfikator CN;;;Z;Zmodyfikowany;2025-03-23 20:38:38;Darek Osuch;2025-03-23 20:39:27;Darek Osuch;;
IdCN;;;;;;;;;;;
NazwaCN;Nazwa produktu CN w jęz. polskim;;;Z;Zmodyfikowany;2025-03-23 20:43:22;Darek Osuch;2025-03-23 20:43:31;Darek Osuch;;
OpisCN;Opis produktu CN;;;D;Dodany;2025-03-23 20:43:48;Darek Osuch;;;;
UwagaCN;Uwagi techniczne do produktu CN;;;Z;Zmodyfikowany;2025-03-23 20:44:11;Darek Osuch;2025-04-09 21:02:31;;;
IdRodzajProdukt;Identyfikator rodzaju produktu;;W tabeli Uprawy oznacza możliwe rodzaje produktów do uzyskania z upraw.;Z;Zmodyfikowany;2025-03-23 20:38:44;Darek Osuch;2025-03-23 20:39:39;Darek Osuch;;
NazwaRodzajProduktNa;Nazwa rodzaju produktu 'na';;Do wykorzystania w tworzeniu nazw.;D;Dodany;2025-03-23 20:44:24;Darek Osuch;;;;
NazwaRodzajProdukt;Nazwa rodzaju produktu;;;D;Dodany;2025-03-23 20:44:24;Darek Osuch;;;;
OpisRodzajProdukt;Opis rodzaju produktu;;;D;Dodany;2025-03-23 20:44:39;Darek Osuch;;;;
UwagaRodzajProdukt;Uwagi techniczne do rodzaju produktu;;;Z;Zmodyfikowany;2025-03-23 20:44:54;Darek Osuch;2025-04-09 21:02:31;;;
IdWykorzystanieProdukt;Identyfikator wykorzystania produktu;;W tabeli Uprawy oznacza możliwe sposoby wykorzystania produktów z upraw.;Z;Zmodyfikowany;2025-03-23 20:38:58;Darek Osuch;2025-03-23 20:39:50;Darek Osuch;;
NazwaWykorzystanieProduktNa;Nazwa wykorzystania produktu 'na';;Do wykorzystania w tworzeniu nazw.;D;Dodany;2025-03-23 20:45:09;Darek Osuch;;;;
NazwaWykorzystanieProdukt;Nazwa wykorzystania produktu;;;D;Dodany;2025-03-23 20:45:09;Darek Osuch;;;;
OpisWykorzystanieProdukt;Opis wykorzystania produktu;;;D;Dodany;2025-03-23 20:45:19;Darek Osuch;;;;
UwagaWykorzystanieProdukt;Uwagi techniczne do wykorzystania produktu;;;Z;Zmodyfikowany;2025-03-23 20:45:34;Darek Osuch;2025-04-09 21:02:31;;;
IdTypUprawa;Identyfikator typu uprawy;;W tabeli Uprawy oznacza możliwe typy upraw.;Z;Zmodyfikowany;2025-03-23 20:38:48;Darek Osuch;2025-03-23 20:39:57;Darek Osuch;;
NazwaTypUprawaNa;Nazwa typu uprawy;;Do wykorzystania w tworzeniu nazw.;D;Dodany;2025-03-23 20:45:42;Darek Osuch;;;;
NazwaTypUprawaNa;Nazwa typu uprawy;;;D;Dodany;2025-03-23 20:45:42;Darek Osuch;;;;
OpisTypUprawa;Opis typu uprawy;;;D;Dodany;2025-03-23 20:45:49;Darek Osuch;;;;
UwagaTypUprawa;Uwagi techniczne do typu uprawy;;;Z;Zmodyfikowany;2025-03-23 20:46:00;Darek Osuch;2025-04-09 21:02:31;;;
IdStatus;Identyfikator statusu wiersza;;;Z;Zmodyfikowany;2025-03-23 20:38:49;Darek Osuch;2025-03-23 20:46:14;Darek Osuch;;
Status;Nazwa statusu wiersza;;;D;Dodany;2025-03-23 20:46:27;Darek Osuch;;;;
DataDodania;Data dodania wiersza;;;D;Dodany;2025-03-23 20:46:33;Darek Osuch;;;;
DodanyPrzez;Nazwa dodającego wiersz;;;D;Dodany;2025-03-23 20:46:46;Darek Osuch;;;;
DataModyfikacji;Data modyfikacji wiersza;;;D;Dodany;2025-03-23 20:46:56;Darek Osuch;;;;
ZmodyfikowanyPrzez;Nazwa modyfikującego wiersz;;;D;Dodany;2025-03-23 20:47:04;Darek Osuch;;;;
DataUsuniecia;Data usunięcia wiersza;;;D;Dodany;2025-03-23 20:47:13;Darek Osuch;;;;
UsunietyPrzez;Nazwa usuwającego wiersz;;;D;Dodany;2025-03-23 20:47:22;Darek Osuch;;;;
IdRodzajUprawa;Identyfikator rodazju uprawy;;;D;Dodany;2025-03-27 17:51:22;Darek Osuch;;;;
NazwaRodzajUprawa;Nazwa rodzaju uprawy;;;D;Dodany;2025-03-27 17:51:26;Darek Osuch;;;;
OpisRodzajUprawa;Opis rodzaju uprawy;;;D;Dodany;2025-03-27 17:51:37;Darek Osuch;;;;
UwagaTypUprawa;Uwagi techniczne do rodzaju uprawy;;;Z;Zmodyfikowany;2025-03-27 17:51:53;Darek Osuch;2025-04-09 21:02:31;;;
IdZmianowanieWarzywo;Identyfikator rodzaju zmianowania warzyw;;;D;Dodany;2025-03-27 17:52:08;Darek Osuch;;;;
NazwaZmianowanieWarzywo;Nazwa rodzaju zmianowania warzyw;;;Z;Zmodyfikowany;2025-03-27 17:52:22;Darek Osuch;2025-03-27 17:52:28;Darek Osuch;;
OpisZmianowanieWarzywo;Opis rodzaju zmianowania warzyw;;;D;Dodany;2025-03-27 17:52:41;Darek Osuch;;;;
UwagaTypUprawa;Uwagi techniczne do rodzaju zmianowania warzyw;;;Z;Zmodyfikowany;2025-03-27 17:52:58;Darek Osuch;2025-04-09 21:02:31;;;
NazwaUprawa_RodzajProdukt_Produkt;Nazwa Uprawy2Produkty;;;Z;Zmodyfikowany;2025-03-29 23:40:41;;2025-04-10 20:28:47;;;
OpisUprawa_RodzajProdukt_Produkt;Opis Uprawy2Produkty;;;Z;Zmodyfikowany;2025-03-29 23:40:54;;2025-04-10 20:28:42;;;
UwagaUprawa_RodzajProdukt_Produkt;Uwagi techniczne Uprawy2PRoduukty;;;Z;Zmodyfikowany;2025-03-29 23:41:35;;2025-04-10 20:28:38;;;
NazwaProdukt_RodzajProdukt_CN;Nazwa Produkty2CN;;;Z;Zmodyfikowany;2025-03-29 23:41:57;;2025-04-10 20:28:24;;;
OpisProdukt_RodzajProdukt_CN;Opis Produkty2CN;;;Z;Zmodyfikowany;2025-03-29 23:42:25;;2025-04-10 20:28:20;;;
UwagaProdukt_RodzajProdukt_CN;Uwagi techniczne Produkty2CN;;;Z;Zmodyfikowany;2025-03-29 23:42:42;;2025-04-10 20:28:09;;;
